Rank,Team,GP,Wins,Draws,Losses,GF,GA,GD,Pts
1,Manchester City,33,28,3,2,93,25,68,87,       
2,Manchester United,33,22,5,6,63,26,37,71,       
3,Liverpool,34,20,10,4,78,35,43,70,       
4,Tottenham Hotspur,34,20,8,6,66,31,35,68,       
5,Chelsea,33,18,6,9,57,33,24,60,       
6,Arsenal,33,16,6,11,62,45,17,54,       
7,Burnley,33,14,10,9,33,29,4,52,       
8,Leicester City,33,11,10,12,49,47,2,43,       
9,Everton,34,11,9,14,39,54,-15,42,       
10,Newcastle United,33,11,8,14,35,42,-7,41,       
11,Bournemouth,34,9,11,14,41,56,-15,38,       
12,Watford,34,10,7,17,42,60,-18,37,       
13,Brighton and Hove Albion,34,8,12,14,32,47,-15,36,       
14,West Ham United,33,8,11,14,41,59,-18,35,       
15,Huddersfield Town,34,9,8,17,27,54,-27,35,       
16,Crystal Palace,34,8,10,16,36,54,-18,34,       
17,Swansea City,33,8,9,16,27,46,-19,33,       
18,Southampton,33,5,13,15,33,53,-20,28,       
19,Stoke City,34,6,10,18,31,64,-33,28,       
20,West Bromwich Albion,34,4,12,18,27,52,-25,24,       
